sentence_split_ID,sentence_split_text
12_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,dragged bags assigned room written stickie note add
13_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,inserted card key appropriate door not open
14_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,couple attempts turned handle try enter
15_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,heard loud male voice shoot
16_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,needless say beat hasty retreat desk
17_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,time manager desk clerk
18_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,appeared just awakened
19_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,unshaven shirt n't tucked
20_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,looked like slob looked like
21_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,told happened said clerk newly-hired mistake duh
22_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,gave card key stickie note room assignment
23_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,demanded accompany
24_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,wife said guy going shoot going
25_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,favorite night manager actually called guy awakened apologize
26_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,hear screaming manager undoubtedly awakened second floor room eventually occupied truly nasty-looking dragging luggage flight fo steps pleasure
27_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,cramped bleak decrepit
28_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,practically wall paper peeling
29_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,bed creaked tiny movement
30_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,aching morning
31_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,awful hotel experiences
32_16baa07344d44dac4cc3f93aa63f8581f3bc39e9db75438ad35437c05949b55b,enter peril
0_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,stay no options did not enjoyable stay hotel
1_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,arrived took nearly 30 minutes checked
2_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,desk disorganized understaffed
3_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,despite fact reserved room queen beds people 65 night given room single king sized bed
4_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,checked given key room guests
5_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,returned desk different key no
6_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,wait lobby 15 minutes returned
7_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,room basic
8_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,nothing excited
9_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,things thermostat did not work unable shut air conditioning.the day checking called manager requested refund
10_378b8446b82987e825d387dc7ae02ce2139e0dfb6a95ab9d56835716197252a2,listening problems encoutered granted refund 65
0_549693f06ca9d1f348b21a5f82a8fe9b3791dd6dda654cc6a6c975646873a570,great experience originally went reservation bit wary past reviews hotel
1_549693f06ca9d1f348b21a5f82a8fe9b3791dd6dda654cc6a6c975646873a570,stay quite enjoyable
2_549693f06ca9d1f348b21a5f82a8fe9b3791dd6dda654cc6a6c975646873a570,low rate room comfortable
3_549693f06ca9d1f348b21a5f82a8fe9b3791dd6dda654cc6a6c975646873a570,used high quality bath products air conditioner fantastic
4_549693f06ca9d1f348b21a5f82a8fe9b3791dd6dda654cc6a6c975646873a570,location block away bus stop ride downtown seattle
5_549693f06ca9d1f348b21a5f82a8fe9b3791dd6dda654cc6a6c975646873a570,points improvement tv channel selection quite limited breakfast mediocre best
6_549693f06ca9d1f348b21a5f82a8fe9b3791dd6dda654cc6a6c975646873a570,espresso shop just block
7_549693f06ca9d1f348b21a5f82a8fe9b3791dd6dda654cc6a6c975646873a570,overall pleased value definitely stay
0_d6f03ffdc2e02b648b22280b52157aec8b1c9d60e981cea8ca23e41a4afa9ab6,rude desk manager place ridiculous
1_d6f03ffdc2e02b648b22280b52157aec8b1c9d60e981cea8ca23e41a4afa9ab6,89.99 hotel smells old dirt customer service rude
2_d6f03ffdc2e02b648b22280b52157aec8b1c9d60e981cea8ca23e41a4afa9ab6,hotel not airport reported given room bedbugs room
3_d6f03ffdc2e02b648b22280b52157aec8b1c9d60e981cea8ca23e41a4afa9ab6,complained lady did best desk asked speak management rude told nothing change room
4_d6f03ffdc2e02b648b22280b52157aec8b1c9d60e981cea8ca23e41a4afa9ab6,nice job bites
0_bfa282bd7b9a4d5f5c94c2a91e4f2676f5e2e7a2f156cc0b929eeaecc7bb13ae,wrong hotel looked room resrvied smeeled vomit
1_bfa282bd7b9a4d5f5c94c2a91e4f2676f5e2e7a2f156cc0b929eeaecc7bb13ae,not red lion accross airport 4 miles north
2_bfa282bd7b9a4d5f5c94c2a91e4f2676f5e2e7a2f156cc0b929eeaecc7bb13ae,cant smell nose lol smoke did not say night thank god time fine hotel
0_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,sunshine just returned week trip dominican rep. say overall enjoyed stay.our travel agent advised colony bay resort recently opened n't sure service
1_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,confirm food services staff entertainment staff
2_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,quite eager help language barriers times nothing
3_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,staff learning english french italian.the food generally good
4_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,theme nights evening steakhouse pizzeria
5_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,require bookings day evening meals easily morning early afternoon
6_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,travel rep. advise
7_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,pizzeria does n't require bookings
8_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,snack bar ab disco/sports bar
9_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,bit hesitant eat tacos
10_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,hesitant food left awhile wrapped
11_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,noticed juice cooked weiners dripping cheese sauce
12_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,yuck night steakhouse evening started roof buffet
13_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,confusion staff acted quite quickly visitors slow leaving building
14_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,roof roofs resort palm leaves
15_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,not sure started say managed thankfully windy location
16_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,no alarms water sprinklers noticed
17_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,rooms drywall buildings concrete blocks
18_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,hotel manager did issue letter apology room.during stay roof repaired imagine buffet running day
19_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,meantime meals handled beach buffet steakhouse
20_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,did eat steakhouse ran rib eye
21_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,instead ordered sirloin
22_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,fine partners grissily
23_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,order chicken wing appetizers overall food good issue flies food especially
24_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,likely open air buffet
25_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,ice cream availalble day breezeway pizzeria sports bar
26_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,yummy
27_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,ice cream buffets
28_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,bugs bite assuming mosquito
29_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,staff spray mosquitoes
30_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,witnessed heard twice daily.our room clean
31_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,did n't care keyed doors friends problems
32_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,room power turned card
33_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,thing mind dominican rep. people n't power disruptions occur
34_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,no problems
35_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,internet available main lobby
36_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,fees posted area.if n't wear watch want bring travel clock did n't notice clock
37_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,no quarantees time t.v.. available channels just wait watch awhile not drink room water
38_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,fine brushing teeth showering
39_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,hot water showers advised not case
40_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,fridge constantly stocked bottled water pop beer
41_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,no charge note try refill water bottles restaurant possible help reduce garbabe
42_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,n't think country recycles evening shows entertaining great dancers costumes
43_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,evening earlier kids
44_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,couple evenings shows involved resort guests
45_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,shows leaned adult games just note families younger kids.due location resort not recommend leaving evening
46_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,resort withing 10 minute walk folks took cab walked strip mall 10 15 minutes away resort
47_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,vendors selling wares resort certain evenings
48_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,jewellery art coffe cigars popular items
49_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,dominican bit pricier places barter cut price half start with.the complex kept clean
50_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,workmanship tile/grouting showing
51_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,nothing bad brand new resort
52_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,notice tons garbage way resort resorts
53_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,sad
54_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,did n't use casino noticed small not used
55_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,lobby expansive great place sit visit just people watch
56_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,clothing shop jeweleery shop lobby
57_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,room buildings gym spa gift shop
58_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,walked gift shop did n't use spa exercise room
59_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,pool pool bar nice
60_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,tthe jaccuzzis pool not heated.there tons lawnchairs want spot near pool palapa towel chairs 10 o'clock
61_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,security guards beach 24/7
62_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,arms bands not required resort neighboring resort believe visiting going vacationers walks beach.makesure plenty sunscreen
63_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,winds noticted n't feeling hot succeptabile burning
64_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,great waves
65_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,watch kids closely.good mix visitors resort
66_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,canadian folks france italy
67_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,including families couples ages.the tour went saona island
68_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,getting d.r painfully long roads quite rough right airport.we picked van wait small village catch a/c/ bus
69_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,motorbike accident stuck traffic awhile
70_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,tour stopped way return store
71_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,tourist trap
72_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,decide
73_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,good place shop not leaving resort
74_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,offered free coffee bus coffee served smallest dixie cup evern seen
75_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,hilarious
76_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,drove throught higuey nearest city getting departure beach catamaran
77_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,plenty vendors pushy
78_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,catamaran relaxing good music lots vitamin rum
79_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,saona island pretty tons palm trees vendors
80_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,beach lunch tastie
81_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,swam tanned
82_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,left speed boat life jackets provided
83_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,boated area starfish
84_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,went look overboard drove past starfish
85_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,boated area nearby
86_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,luckliy large starfish baby
87_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,boated beach bus long journey resort
88_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,tour company offers cd filed trip includes dominican history amusic cd
89_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,did n't purchase rum goes
90_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,wished guide spoke surroundings history drove bus
91_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,loved saonoa island starfish experience.kids love candy bring dollar store items like instead stickers
92_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,nutshell colony bay not huge resort bit intimate
93_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,clean room food edible love chocolate staff willing service friendly
94_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,booked thorugh tour company like sunquest etc. recommend sit briefing arrival
95_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,good info
96_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,tips resort dominican.enjoy local music weather nice
97_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,week experienced rainshowers 3 times
98_a871574d9fbed1666a4dfe87a2a024b1932bf8815ae2264aa0c8847eae8860a5,night early morning shower late afternoon
0_2d1c549d79f3ffdc46fbadb29ac3df3b527d667a14d0c6638fb50411ac98f701,issues n't say 4 star service great pool bar
0_b31cdbe9e52833d1db7a3d8e53ac01981aaddde0e03600344d95b24d3cf11798,good weekend stay wife stay quite regularly visit seattle football game
1_b31cdbe9e52833d1db7a3d8e53ac01981aaddde0e03600344d95b24d3cf11798,shuttle airport time operates 24 hours day
2_b31cdbe9e52833d1db7a3d8e53ac01981aaddde0e03600344d95b24d3cf11798,rooms typical marriott clean functional
3_b31cdbe9e52833d1db7a3d8e53ac01981aaddde0e03600344d95b24d3cf11798,restaurant good good items quite normal
4_b31cdbe9e52833d1db7a3d8e53ac01981aaddde0e03600344d95b24d3cf11798,large convention hotel occurs quite regularly weekends careful room stay away pool
5_b31cdbe9e52833d1db7a3d8e53ac01981aaddde0e03600344d95b24d3cf11798,hotel old remodeled recently noise hallways especially pool annoying
6_b31cdbe9e52833d1db7a3d8e53ac01981aaddde0e03600344d95b24d3cf11798,standard complaint charge internet usage
0_aee7d2a6219edf666b2181c66ab0eaf9642c3271563926a04cca31b2de37b4fd,great airport stay lovely indoor pool area looks like lodge
1_aee7d2a6219edf666b2181c66ab0eaf9642c3271563926a04cca31b2de37b4fd,staff friendly helpful
2_aee7d2a6219edf666b2181c66ab0eaf9642c3271563926a04cca31b2de37b4fd,room clean comfortable spacious minimal noise outside hear planes really listened
3_aee7d2a6219edf666b2181c66ab0eaf9642c3271563926a04cca31b2de37b4fd,breakfast buffet good value great coffee starbucks omelet chef did not slightest clue doing
4_aee7d2a6219edf666b2181c66ab0eaf9642c3271563926a04cca31b2de37b4fd,got scramble omelet spinach leaves thing cooked nothing
5_aee7d2a6219edf666b2181c66ab0eaf9642c3271563926a04cca31b2de37b4fd,booked cars eat free package included parking 25 gas card deal worth
6_aee7d2a6219edf666b2181c66ab0eaf9642c3271563926a04cca31b2de37b4fd,overall good experience
0_f004752a16b2dd939f6438a4c987f2f6308f9fa76cc0c788b773410afa379151,nice comfortable rooms comfortable
1_f004752a16b2dd939f6438a4c987f2f6308f9fa76cc0c788b773410afa379151,bed awesome attractively made-up super comfy
2_f004752a16b2dd939f6438a4c987f2f6308f9fa76cc0c788b773410afa379151,agree halls/elevator set-up little tricky asides small pleasant stay
3_f004752a16b2dd939f6438a4c987f2f6308f9fa76cc0c788b773410afa379151,ate meal main restaurant quite good
4_f004752a16b2dd939f6438a4c987f2f6308f9fa76cc0c788b773410afa379151,took little food customers opened lunch probably turn stoves stuff
0_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,fine choice seatac lobby attractive bit small noisy
1_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,room newly redecorated/remodeled
2_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,not big comfortable king bed lovely duvet pillows
3_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,bathroom luxury level granite countertops attractive large framed mirror
4_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,free lobby printing boarding passes
5_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,hilton block away easily walk restaurant
6_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,large steak house type place choices
7_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,noted parking ripoff
8_1ef333c56ce7bf6cf104e1015b47d1f037b189d227062d0246a3812a9ddd933f,dropped rental car early avoid overnight charge
0_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,great hotel july 2006 stayed courtyard night princess cruise alaska pleased hotel
1_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,arrived sea-tac airport called free hotel shuttle arrived 15 minutes later told 20 minutes early
2_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,driver friendly
3_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,10 minute trip airport courtyard
4_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,check-in fast
5_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,problem thought free shuttle cruise ship far
6_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,desk staff did arrange town car service pick morning
7_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,guaranteed non-smoking room got
8_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,no smell smoke
9_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,room large 2 queen beds quilts overstuffed chair desk chair vanity mirror bureau t.v
10_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,clean
11_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,bathroom 2-part toilet tub/shower large room sink mirror separate area outside
12_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,convenient
13_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,dinner charley restaurant hotel good reasonably priced western burger fries patty melt fries 8.95
14_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,breakfast buffet good bread bagels omelet bar fruit hot cold cereal yogurt
15_c1644ccf6bcc58360ec5564266b52dfe8d6b973faf6301f2d7ff6924d6c953d6,pleased hotel especially cleanliness definitely stay
0_29464d4fba61db4d8e354c3fe7f900a19d016b71fa3bf0ad8201f33971fff3d4,good airport hotel hilton seattle airport good airport hotel.if book on-line advance purchase cheaper comparable product airport marriott.the room comfortable food great shuttle convenient
1_29464d4fba61db4d8e354c3fe7f900a19d016b71fa3bf0ad8201f33971fff3d4,prefer hotel seattle airport marriott.internet costs 10 night standard good hotel.others extras stay cheap motel like red roof
0_9b8ed6187aecafa037eb896e46d30ab18905580acc30462da3cd98acbef33fa6,questionable quality property wonderful ways request maintenance clean filthy a/c heat vent service required fee parking 18/ 24 pet fee 50 internet access 5/day
1_9b8ed6187aecafa037eb896e46d30ab18905580acc30462da3cd98acbef33fa6,interior courtyard pleasant cold winter day pet litter left unattended
2_9b8ed6187aecafa037eb896e46d30ab18905580acc30462da3cd98acbef33fa6,50 pet fee not clean
3_9b8ed6187aecafa037eb896e46d30ab18905580acc30462da3cd98acbef33fa6,room wallpaper peeling wall bathroom
4_9b8ed6187aecafa037eb896e46d30ab18905580acc30462da3cd98acbef33fa6,not hilton quality used
0_df1b3e411feccc967e571cc3e83f2b06fc3447741c01d6d313cfcfbfb8ab41d6,luxurious pricey stay hilton purchased rooms hilton price option priceline good deal
1_df1b3e411feccc967e571cc3e83f2b06fc3447741c01d6d313cfcfbfb8ab41d6,hotel staff second none beds comfortable slept
2_df1b3e411feccc967e571cc3e83f2b06fc3447741c01d6d313cfcfbfb8ab41d6,room looked mount rainier just spectacular
3_df1b3e411feccc967e571cc3e83f2b06fc3447741c01d6d313cfcfbfb8ab41d6,location perfect commuting airport despite airport just street heard air traffic
4_df1b3e411feccc967e571cc3e83f2b06fc3447741c01d6d313cfcfbfb8ab41d6,biggest negative little tack-ons hilton charged internet parking printing
5_df1b3e411feccc967e571cc3e83f2b06fc3447741c01d6d313cfcfbfb8ab41d6,outside bed extra frustrating considering lower level establishments like quality inn hampton inn provide no extra charge
6_df1b3e411feccc967e571cc3e83f2b06fc3447741c01d6d313cfcfbfb8ab41d6,realize paid hundreds priceline happy got price charges applied travelers paid price rate paid price
7_df1b3e411feccc967e571cc3e83f2b06fc3447741c01d6d313cfcfbfb8ab41d6,overall hotel taste luxury extras taste
0_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,cozy
1_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,maybe hotel bothered paid price stayed long last-night-of-vacation priceline bargain perfect
2_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,room extremely comfortable large bathroom comically cushy bed
3_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,walls soundproof did n't hear hallway neighbor noise great view courtyard
4_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,like little luxury world lots nice extras like high thread-count sheets great toiletries soft towels
5_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,handicapped room not wheelchair think easy time navigating room bathroom/walk-in shower
6_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,downside place gouge parking meals internet bottled water charge
7_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,honestly install oxygen meter charge breathing bet
8_e015456c55d0f09697adb7532dfbe914197846628cb10aa76d2fcac963a22f3a,got sense humor paying things fun challenge tourist traps just brief stay great time nice hotel
0_f57a9ccbf7e580d9a9de252f9d38d09bc339de05b259802d904baeff39ded80b,great airport hotel prepaid rate hilton.com 84 night
1_f57a9ccbf7e580d9a9de252f9d38d09bc339de05b259802d904baeff39ded80b,excellent rate 2 people 2 beds.free shuttle rental car drop location.decent wireless internet access.all staff extremely helpful desk housekeeping shuttle driver bell person.front desk let use printer print business docs free 9pm.prompt free shuttle early flight.quiet odor free room
2_f57a9ccbf7e580d9a9de252f9d38d09bc339de05b259802d904baeff39ded80b,feather products housekeeping staff prompt bringing replacements feathers bed.good room coffee
0_c4330f191e2d2f73bdead8808e9b20622c52c6ddf802f24af9bd9021b3f49715,outstanding luxurious accommodations including huge room extraordinarily comfortable mattress pillows
